bin_depth,time,U,V,W
3,2024-04-06 00:00:00,-23.3,4.9,2.3
3,2024-04-06 00:30:00,-18.1,-5.7,-4.7
3,2024-04-06 01:00:00,-19.5,1.1,-3.2
3,2024-04-06 01:30:00,-20.0,-6.0,-3.7
3,2024-04-06 02:00:00,-31.5,-8.2,-3.0
3,2024-04-06 02:30:00,-20.4,-10.7,0.3
3,2024-04-06 03:00:00,-28.8,-4.6,3.3
3,2024-04-06 03:30:00,-27.8,-2.1,5.3
3,2024-04-06 04:00:00,-24.5,-2.1,2.6
3,2024-04-06 04:30:00,-27.5,6.2,3.6
3,2024-04-06 05:00:00,-23.4,-3.7,-7.0
3,2024-04-06 05:30:00,-29.3,-5.4,0.2
3,2024-04-06 06:00:00,-19.2,-3.7,2.7
3,2024-04-06 06:30:00,-25.5,6.7,-9.1
3,2024-04-06 07:00:00,-22.1,2.6,-7.5
3,2024-04-06 07:30:00,-27.9,-4.9,-5.2
3,2024-04-06 08:00:00,-19.9,4.2,-0.5
3,2024-04-06 08:30:00,-31.8,2.4,-10.0
3,2024-04-06 09:00:00,-17.5,8.1,-8.0
3,2024-04-06 09:30:00,-18.8,7.7,0.4
3,2024-04-06 10:00:00,-26.9,7.7,-2.3
3,2024-04-06 10:30:00,-10.6,9.3,-2.2
3,2024-04-06 11:00:00,-23.9,13.7,-3.9
3,2024-04-06 11:30:00,-31.4,10.9,0.1
3,2024-04-06 12:00:00,-21.9,7.9,-1.7
3,2024-04-06 12:30:00,-33.2,12.6,5.0
3,2024-04-06 13:00:00,-27.4,-0.6,-5.0
3,2024-04-06 13:30:00,-33.9,7.3,4.7
3,2024-04-06 14:00:00,-35.4,1.4,5.1
3,2024-04-06 14:30:00,-32.5,1.3,-5.0
3,2024-04-06 15:00:00,-33.5,0.3,4.5
3,2024-04-06 15:30:00,-35.4,6.2,9.4
3,2024-04-06 16:00:00,-28.0,18.8,3.6
3,2024-04-06 16:30:00,-38.3,2.8,-3.5
3,2024-04-06 17:00:00,-34.0,7.3,-1.5
3,2024-04-06 17:30:00,-37.5,11.8,1.5
3,2024-04-06 18:00:00,-27.1,10.8,-8.9
3,2024-04-06 18:30:00,-22.8,15.5,-1.6
3,2024-04-06 19:00:00,-27.6,11.9,7.7
3,2024-04-06 19:30:00,-23.3,4.9,1.8
3,2024-04-06 20:00:00,-18.5,12.4,-2.0
3,2024-04-06 20:30:00,-23.8,3.5,-1.6
3,2024-04-06 21:00:00,-16.9,8.0,6.2
3,2024-04-06 21:30:00,7.4,14.1,-6.3
3,2024-04-06 22:00:00,-12.6,21.3,-8.7
3,2024-04-06 22:30:00,-9.0,2.6,-4.3
3,2024-04-06 23:00:00,2.8,5.8,-7.7
3,2024-04-06 23:30:00,-2.9,11.6,0.0
3,2024-04-07 00:00:00,-17.0,2.7,-15.1
3,2024-04-07 00:30:00,-10.2,-4.0,5.5
3,2024-04-07 01:00:00,-11.8,9.8,9.5
3,2024-04-07 01:30:00,-12.6,8.4,4.9
3,2024-04-07 02:00:00,-4.1,9.0,-1.2
3,2024-04-07 02:30:00,-15.1,0.1,-10.7
3,2024-04-07 03:00:00,-12.4,7.1,-0.1
3,2024-04-07 03:30:00,-15.7,4.5,-2.0
3,2024-04-07 04:00:00,-17.8,5.4,-13.9
3,2024-04-07 04:30:00,-18.1,5.8,-6.3
3,2024-04-07 05:00:00,-18.3,-4.2,-8.1
3,2024-04-07 05:30:00,-15.7,7.9,-7.9
3,2024-04-07 06:00:00,-21.8,10.5,0.3
3,2024-04-07 06:30:00,-8.0,9.2,-5.3
3,2024-04-07 07:00:00,-20.0,12.0,0.6
3,2024-04-07 07:30:00,-15.1,7.3,-11.0
3,2024-04-07 08:00:00,-2.1,12.8,-10.0
3,2024-04-07 08:30:00,-5.3,15.6,-0.6
3,2024-04-07 09:00:00,-2.0,5.4,-2.7
3,2024-04-07 09:30:00,2.9,7.1,-1.1
3,2024-04-07 10:00:00,3.9,19.5,-10.3
3,2024-04-07 10:30:00,4.8,10.7,-6.2
3,2024-04-07 11:00:00,14.7,10.1,-3.0
3,2024-04-07 11:30:00,8.8,4.5,-5.9
3,2024-04-07 12:00:00,3.4,3.2,-12.7
3,2024-04-07 12:30:00,3.1,6.0,-5.9
3,2024-04-07 13:00:00,13.8,7.6,1.3
3,2024-04-07 13:30:00,1.5,12.4,-5.9
3,2024-04-07 14:00:00,2.5,3.5,-3.5
3,2024-04-07 14:30:00,0.2,2.9,-0.4
3,2024-04-07 15:00:00,3.6,0.4,-3.7
3,2024-04-07 15:30:00,-6.3,7.0,-2.9
3,2024-04-07 16:00:00,8.4,11.7,0.5
3,2024-04-07 16:30:00,-1.6,5.5,3.5
3,2024-04-07 17:00:00,-5.2,5.5,-0.9
3,2024-04-07 17:30:00,-5.0,5.0,-2.7
3,2024-04-07 18:00:00,6.1,1.9,-2.3
3,2024-04-07 18:30:00,2.4,-3.7,1.4
3,2024-04-07 19:00:00,7.9,-2.3,-8.6
3,2024-04-07 19:30:00,-2.6,6.1,3.4
3,2024-04-07 20:00:00,7.2,-1.0,3.1
3,2024-04-07 20:30:00,4.0,9.2,-1.9
3,2024-04-07 21:00:00,13.6,2.1,-5.0
3,2024-04-07 21:30:00,2.2,-3.6,6.0
3,2024-04-07 22:00:00,4.6,-2.3,3.7
3,2024-04-07 22:30:00,0.0,1.7,5.2
3,2024-04-07 23:00:00,5.6,-0.8,-6.8
3,2024-04-07 23:30:00,1.5,-2.7,-0.4
3,2024-04-08 00:00:00,3.1,-12.7,-16.6
3,2024-04-08 00:30:00,1.1,3.3,2.6
3,2024-04-08 01:00:00,6.5,-3.5,-2.3
3,2024-04-08 01:30:00,2.2,-2.4,-4.1
3,2024-04-08 02:00:00,-4.0,-11.1,-6.1
3,2024-04-08 02:30:00,-5.4,-12.8,-3.1
3,2024-04-08 03:00:00,-5.9,-6.0,0.4
3,2024-04-08 03:30:00,-6.9,-5.3,2.4
3,2024-04-08 04:00:00,-11.7,-0.9,-1.2
3,2024-04-08 04:30:00,-12.9,-9.7,2.0
3,2024-04-08 05:00:00,-3.8,-8.2,-4.6
3,2024-04-08 05:30:00,-15.1,-18.2,-2.6
3,2024-04-08 06:00:00,-13.9,-11.7,-7.1
3,2024-04-08 06:30:00,-9.9,-8.5,-1.7
3,2024-04-08 07:00:00,-5.0,-5.5,1.7
3,2024-04-08 07:30:00,-7.3,-9.3,-5.6
3,2024-04-08 08:00:00,-8.6,4.5,1.4
3,2024-04-08 08:30:00,-2.7,4.7,4.9
3,2024-04-08 09:00:00,-1.3,-2.7,-2.9
3,2024-04-08 09:30:00,8.6,-0.8,0.1
3,2024-04-08 10:00:00,7.0,0.9,-5.7
3,2024-04-08 10:30:00,16.6,10.4,-1.1
3,2024-04-08 11:00:00,7.8,7.9,-6.0
3,2024-04-08 11:30:00,22.0,13.2,-2.3
3,2024-04-08 12:00:00,17.9,12.8,-2.6
3,2024-04-08 12:30:00,15.0,11.6,3.9
3,2024-04-08 13:00:00,13.6,8.5,0.6
3,2024-04-08 13:30:00,23.2,10.3,-5.4
3,2024-04-08 14:00:00,13.6,6.5,-3.0
3,2024-04-08 14:30:00,15.7,7.1,-1.2
3,2024-04-08 15:00:00,16.2,3.5,-0.1
3,2024-04-08 15:30:00,25.6,-0.7,-3.6
3,2024-04-08 16:00:00,14.6,-0.8,-5.1
3,2024-04-08 16:30:00,16.8,-7.8,-13.1
3,2024-04-08 17:00:00,11.0,-0.8,2.8
3,2024-04-08 17:30:00,17.0,-8.6,-8.3
3,2024-04-08 18:00:00,15.1,-6.2,-12.4
3,2024-04-08 18:30:00,10.5,-9.8,-8.9
3,2024-04-08 19:00:00,3.1,-12.6,0.1
3,2024-04-08 19:30:00,18.4,-3.9,-2.4
3,2024-04-08 20:00:00,9.2,-0.5,-3.1
3,2024-04-08 20:30:00,19.6,-4.1,-1.8
3,2024-04-08 21:00:00,17.7,-5.8,-6.1
3,2024-04-08 21:30:00,22.7,-22.3,5.2
3,2024-04-08 22:00:00,13.2,-19.4,-0.8
3,2024-04-08 22:30:00,9.3,-8.1,-2.9
3,2024-04-08 23:00:00,17.3,-13.5,-11.8
3,2024-04-08 23:30:00,10.6,-15.1,-4.6
3,2024-04-09 00:00:00,17.7,-10.0,-0.8
3,2024-04-09 00:30:00,19.2,-18.5,-6.8
3,2024-04-09 01:00:00,19.5,-14.1,0.7
3,2024-04-09 01:30:00,22.2,-21.2,-3.5
3,2024-04-09 02:00:00,22.5,-6.9,-2.1
3,2024-04-09 02:30:00,31.0,-17.3,3.6
3,2024-04-09 03:00:00,40.1,-3.3,-1.0
3,2024-04-09 03:30:00,11.4,-26.8,0.5
3,2024-04-09 04:00:00,8.7,-18.2,-6.5
3,2024-04-09 04:30:00,8.6,-14.0,-0.5
3,2024-04-09 05:00:00,3.9,-8.2,1.7
3,2024-04-09 05:30:00,11.9,-3.8,-3.6
3,2024-04-09 06:00:00,7.0,5.9,-8.9
